tamanho,versao,execucoes,vitorias,mortes,interrompidas,taxa_vitoria,pontuacao_media,pontuacao_dp,passos_medios,passos_dp
4,V1,30,6,24,0,20.0,-343.3333333333333,1208.1853115836316,8.466666666666667,9.474951854425338
4,V2,30,18,12,0,60.0,821.4,1434.9469195998036,8.933333333333334,5.601313474862673
4,V3,30,18,3,9,60.0,1183.9666666666667,1101.2484289654403,47.43333333333333,70.48975632761427
5,V1,30,5,25,0,16.666666666666664,-492.03333333333336,1135.9469536951078,22.2,18.458527605941654
5,V2,30,16,14,0,53.333333333333336,816.8,1114.9994402348989,11.666666666666666,6.024852742989877
5,V3,30,22,0,8,73.33333333333333,1493.7333333333333,865.0873558972719,38.86666666666667,58.261440098051565
10,V1,30,2,28,0,6.666666666666667,-817.7,776.3646561444853,47.96666666666667,52.4341842518878
10,V2,30,14,16,0,46.666666666666664,751.6666666666666,1230.230938043561,42.8,26.921853704686676
10,V3,30,15,1,14,50.0,1022.9,1038.703148659174,76.46666666666667,73.80997658635422
15,V1,30,3,27,0,10.0,-761.2,908.7789230800212,60.766666666666666,64.32122153869503
15,V2,30,11,19,0,36.666666666666664,225.8,590.1322119544118,67.66666666666667,44.27681991301087
15,V3,30,19,0,11,63.33333333333333,1361.1,864.373137417895,71.6,67.99675448644336
20,V1,30,2,28,0,6.666666666666667,-911.5666666666667,740.4465886036024,111.16666666666667,110.55411635790936
20,V2,30,11,19,0,36.666666666666664,204.7,796.5238767337087,119.96666666666667,88.53188918293144
20,V3,30,23,0,7,76.66666666666667,1600.3666666666666,705.7931455942427,65.53333333333333,60.71001356552671
