tamanho,versao,execucao,resultado,pegou_ouro,pontuacao,passos,fitness_melhor_final,fitness_medio_final
4,v1,1,morreu,0,-1027,17,,
4,v2,1,venceu,1,995,6,,
4,v3,1,morreu,0,-29,18,25.8,21.547428571428558
4,v1,2,venceu,1,1949,50,,
4,v2,2,venceu,1,995,6,,
4,v3,2,venceu,1,1975,9,25.8,21.916365079365068
4,v1,3,venceu,1,1995,4,,
4,v2,3,venceu,1,995,6,,
4,v3,3,morreu,0,-6,7,25.8,21.94332571003874
4,v1,4,morreu,0,-1007,7,,
4,v2,4,venceu,1,995,6,,
4,v3,4,morreu,0,-58,27,25.8,23.68159398496239
4,v1,5,morreu,0,-1007,7,,
4,v2,5,venceu,1,995,6,,
4,v3,5,venceu,1,1988,8,25.8,22.5694603174603
4,v1,6,morreu,0,-1004,4,,
4,v2,6,venceu,1,995,6,,
4,v3,6,venceu,1,1985,7,25.8,21.267327117327103
4,v1,7,morreu,0,-1012,12,,
4,v2,7,venceu,1,995,6,,
4,v3,7,venceu,1,1985,7,25.8,21.93885714285713
4,v1,8,morreu,0,-1040,30,,
4,v2,8,venceu,1,995,6,,
4,v3,8,morreu,0,-31,12,25.8,19.51062857142856
4,v1,9,venceu,1,1987,12,,
4,v2,9,venceu,1,995,6,,
4,v3,9,venceu,1,1970,10,25.8,18.695716477966467
4,v1,10,morreu,0,-1021,11,,
4,v2,10,venceu,1,995,6,,
4,v3,10,venceu,1,1985,7,25.8,22.011936507936497
4,v1,11,morreu,0,-1009,9,,
4,v2,11,venceu,1,995,6,,
4,v3,11,morreu,0,-18,11,25.8,23.76319999999998
4,v1,12,venceu,1,1991,8,,
4,v2,12,venceu,1,995,6,,
4,v3,12,venceu,1,1970,10,25.8,20.979936507936497
4,v1,13,morreu,0,-1006,6,,
4,v2,13,venceu,1,995,6,,
4,v3,13,venceu,1,1985,7,25.8,20.012435538317877
4,v1,14,morreu,0,-1009,9,,
4,v2,14,venceu,1,995,6,,
4,v3,14,morreu,0,-43,16,25.8,20.90685714285713
4,v1,15,morreu,0,-1008,8,,
4,v2,15,venceu,1,995,6,,
4,v3,15,venceu,1,1968,12,25.8,22.99868322981365
4,v1,16,morreu,0,-1008,8,,
4,v2,16,venceu,1,995,6,,
4,v3,16,venceu,1,1995,5,25.8,22.732181818181804
4,v1,17,morreu,0,-1004,4,,
4,v2,17,venceu,1,995,6,,
4,v3,17,morreu,0,-25,14,25.8,19.567092436974775
4,v1,18,morreu,0,-1012,12,,
4,v2,18,venceu,1,995,6,,
4,v3,18,venceu,1,1995,5,25.8,20.792120879120866
4,v1,19,morreu,0,-1008,8,,
4,v2,19,venceu,1,995,6,,
4,v3,19,venceu,1,1950,14,25.8,18.871384260184247
4,v1,20,morreu,0,-1002,2,,
4,v2,20,venceu,1,995,6,,
4,v3,20,morreu,0,-18,11,25.8,23.611428571428554
4,v1,21,venceu,1,1987,12,,
4,v2,21,venceu,1,995,6,,
4,v3,21,venceu,1,1993,7,25.8,23.348444444444425
4,v1,22,morreu,0,-1005,5,,
4,v2,22,venceu,1,995,6,,
4,v3,22,venceu,1,1960,12,25.8,23.856267335004173
4,v1,23,morreu,0,-1014,14,,
4,v2,23,venceu,1,995,6,,
4,v3,23,venceu,1,1990,6,25.8,23.362285714285704
4,v1,24,morreu,0,-1046,36,,
4,v2,24,venceu,1,995,6,,
4,v3,24,venceu,1,1995,5,25.8,21.925974937343344
4,v1,25,morreu,0,-1002,2,,
4,v2,25,venceu,1,995,6,,
4,v3,25,venceu,1,1993,7,25.8,22.95169230769229
4,v1,26,venceu,1,1985,14,,
4,v2,26,venceu,1,995,6,,
4,v3,26,morreu,0,-15,12,25.8,22.025777777777762
4,v1,27,morreu,0,-1002,2,,
4,v2,27,venceu,1,995,6,,
4,v3,27,venceu,1,1995,5,25.8,20.096894714407487
4,v1,28,morreu,0,-89,79,,
4,v2,28,venceu,1,995,6,,
4,v3,28,morreu,0,-36,13,25.8,19.841079365079352
4,v1,29,venceu,1,1986,13,,
4,v2,29,venceu,1,995,6,,
4,v3,29,morreu,0,-25,14,25.8,21.115832611832598
4,v1,30,morreu,0,-1014,4,,
4,v2,30,venceu,1,995,6,,
4,v3,30,venceu,1,1958,22,25.8,23.103734572616915
5,v1,1,morreu,0,-1004,4,,
5,v2,1,venceu,1,2973,19,,
5,v3,1,venceu,1,1954,18,13.909090909090908,6.367692307692308
5,v1,2,morreu,0,-1019,9,,
5,v2,2,venceu,1,2973,19,,
5,v3,2,venceu,1,1944,20,13.909090909090908,7.41944055944056
5,v1,3,morreu,0,-1016,6,,
5,v2,3,venceu,1,2973,19,,
5,v3,3,morreu,0,-40,13,16.11111111111111,9.314343434343435
5,v1,4,morreu,0,-1017,7,,
5,v2,4,venceu,1,2973,19,,
5,v3,4,venceu,1,1892,32,12.384615384615385,5.027927601809957
5,v1,5,morreu,0,-1005,5,,
5,v2,5,venceu,1,2973,19,,
5,v3,5,morreu,0,-65,18,16.11111111111111,11.49536907536907
5,v1,6,morreu,0,-1015,5,,
5,v2,6,venceu,1,2973,19,,
5,v3,6,venceu,1,1947,21,12.384615384615385,7.774901960784311
5,v1,7,morreu,0,-1013,3,,
5,v2,7,venceu,1,2973,19,,
5,v3,7,morreu,0,-40,13,16.11111111111111,10.99411033411033
5,v1,8,morreu,0,-1005,5,,
5,v2,8,venceu,1,2973,19,,
5,v3,8,morreu,0,-70,19,16.11111111111111,9.84021756021756
5,v1,9,morreu,0,-1019,9,,
5,v2,9,venceu,1,2973,19,,
5,v3,9,morreu,0,-68,25,10.411764705882353,4.635143741707209
5,v1,10,morreu,0,-1021,11,,
5,v2,10,venceu,1,2973,19,,
5,v3,10,morreu,0,-90,23,16.11111111111111,11.302657342657346
5,v1,11,morreu,0,-1004,4,,
5,v2,11,venceu,1,2973,19,,
5,v3,11,morreu,0,-5,6,16.11111111111111,11.203247863247855
5,v1,12,morreu,0,-1019,9,,
5,v2,12,venceu,1,2973,19,,
5,v3,12,morreu,0,-12,9,13.909090909090908,8.562657342657346
5,v1,13,morreu,0,-1003,3,,
5,v2,13,venceu,1,2973,19,,
5,v3,13,morreu,0,-45,14,16.11111111111111,11.423838383838374
5,v1,14,morreu,0,-1015,5,,
5,v2,14,venceu,1,2973,19,,
5,v3,14,morreu,0,-10,7,16.11111111111111,9.988888888888882
5,v1,15,venceu,1,1965,24,,
5,v2,15,venceu,1,2973,19,,
5,v3,15,venceu,1,1934,22,13.909090909090908,5.914703962703961
5,v1,16,morreu,0,-1013,13,,
5,v2,16,venceu,1,2973,19,,
5,v3,16,morreu,0,-30,11,16.11111111111111,11.834141414141405
5,v1,17,morreu,0,-21,11,,
5,v2,17,venceu,1,2973,19,,
5,v3,17,venceu,1,1929,23,13.909090909090908,8.003972027972024
5,v1,18,morreu,0,-1018,8,,
5,v2,18,venceu,1,2973,19,,
5,v3,18,morreu,0,-70,19,16.11111111111111,10.5422533022533
5,v1,19,morreu,0,-1002,2,,
5,v2,19,venceu,1,2973,19,,
5,v3,19,morreu,0,-10,7,16.11111111111111,11.27777777777777
5,v1,20,morreu,0,-1015,5,,
5,v2,20,venceu,1,2973,19,,
5,v3,20,morreu,0,-15,8,16.11111111111111,9.666666666666659
5,v1,21,morreu,0,-1004,4,,
5,v2,21,venceu,1,2973,19,,
5,v3,21,morreu,0,-50,15,16.11111111111111,11.98020202020201
5,v1,22,morreu,0,-34,24,,
5,v2,22,venceu,1,2973,19,,
5,v3,22,morreu,0,-15,8,16.11111111111111,8.978181818181813
5,v1,23,morreu,0,-27,17,,
5,v2,23,venceu,1,2973,19,,
5,v3,23,morreu,0,-10,7,16.11111111111111,9.988888888888882
5,v1,24,morreu,0,-1004,4,,
5,v2,24,venceu,1,2973,19,,
5,v3,24,venceu,1,1969,15,12.384615384615385,6.913025641025638
5,v1,25,morreu,0,-14,4,,
5,v2,25,venceu,1,2973,19,,
5,v3,25,morreu,0,-15,8,16.11111111111111,11.62439024390243
5,v1,26,morreu,0,-1020,10,,
5,v2,26,venceu,1,2973,19,,
5,v3,26,venceu,1,1914,26,13.909090909090908,4.3786408885232415
5,v1,27,morreu,0,-1019,9,,
5,v2,27,venceu,1,2973,19,,
5,v3,27,venceu,1,1944,20,13.909090909090908,6.799776223776221
5,v1,28,morreu,0,-1007,7,,
5,v2,28,venceu,1,2973,19,,
5,v3,28,morreu,0,-25,10,16.11111111111111,12.756767676767666
5,v1,29,morreu,0,-1018,8,,
5,v2,29,venceu,1,2973,19,,
5,v3,29,morreu,0,-22,11,13.909090909090908,8.532167832167834
5,v1,30,morreu,0,-18,8,,
5,v2,30,venceu,1,2973,19,,
5,v3,30,morreu,0,-35,12,16.11111111111111,11.746060606060595
10,v1,1,morreu,0,-1001,1,,
10,v2,1,morreu,0,-1022,22,,
10,v3,1,morreu,0,-1016,4,0,0
10,v1,2,morreu,0,-1004,4,,
10,v2,2,morreu,0,-1001,1,,
10,v3,2,morreu,0,-1001,1,0,0
10,v1,3,morreu,0,-1004,4,,
10,v2,3,morreu,0,-1001,1,,
10,v3,3,morreu,0,-1006,2,0,0
10,v1,4,morreu,0,-1001,1,,
10,v2,4,morreu,0,-1015,15,,
10,v3,4,morreu,0,-1001,1,0,0
10,v1,5,morreu,0,-1020,20,,
10,v2,5,morreu,0,-1015,15,,
10,v3,5,morreu,0,-1019,11,0,0
10,v1,6,morreu,0,-1001,1,,
10,v2,6,morreu,0,-1001,1,,
10,v3,6,morreu,0,-1020,8,0,0
10,v1,7,morreu,0,-1008,8,,
10,v2,7,morreu,0,-1015,15,,
10,v3,7,morreu,0,-1001,1,0,0
10,v1,8,morreu,0,-1001,1,,
10,v2,8,morreu,0,-1001,1,,
10,v3,8,morreu,0,-1006,2,0,0
10,v1,9,morreu,0,-1001,1,,
10,v2,9,morreu,0,-1001,1,,
10,v3,9,morreu,0,-1025,9,0,0
10,v1,10,morreu,0,-1013,13,,
10,v2,10,morreu,0,-1001,1,,
10,v3,10,morreu,0,-1008,4,0,0
10,v1,11,morreu,0,-1001,1,,
10,v2,11,morreu,0,-1005,5,,
10,v3,11,morreu,0,-1001,1,0,0
10,v1,12,morreu,0,-1004,4,,
10,v2,12,morreu,0,-1005,5,,
10,v3,12,morreu,0,-1014,10,0,0
10,v1,13,morreu,0,-1005,5,,
10,v2,13,morreu,0,-1022,22,,
10,v3,13,morreu,0,-1006,2,0,0
10,v1,14,morreu,0,-1003,3,,
10,v2,14,morreu,0,-1014,14,,
10,v3,14,morreu,0,-1001,1,0,0
10,v1,15,morreu,0,-1003,3,,
10,v2,15,morreu,0,-1005,5,,
10,v3,15,morreu,0,-1001,1,0,0
10,v1,16,morreu,0,-1003,3,,
10,v2,16,morreu,0,-1001,1,,
10,v3,16,morreu,0,-1009,5,0,0
10,v1,17,morreu,0,-1001,1,,
10,v2,17,morreu,0,-1005,5,,
10,v3,17,morreu,0,-1016,4,0,0
10,v1,18,morreu,0,-1001,1,,
10,v2,18,morreu,0,-1005,5,,
10,v3,18,morreu,0,-1011,3,0,0
10,v1,19,morreu,0,-1001,1,,
10,v2,19,morreu,0,-1001,1,,
10,v3,19,morreu,0,-1006,2,0,0
10,v1,20,morreu,0,-1010,10,,
10,v2,20,morreu,0,-1001,1,,
10,v3,20,morreu,0,-1034,14,0,0
10,v1,21,morreu,0,-1003,3,,
10,v2,21,morreu,0,-1005,5,,
10,v3,21,morreu,0,-1006,2,0,0
10,v1,22,morreu,0,-1012,12,,
10,v2,22,morreu,0,-1001,1,,
10,v3,22,morreu,0,-1008,4,0,0
10,v1,23,morreu,0,-1006,6,,
10,v2,23,morreu,0,-1005,5,,
10,v3,23,morreu,0,-1029,25,0,0
10,v1,24,morreu,0,-1022,22,,
10,v2,24,morreu,0,-1001,1,,
10,v3,24,morreu,0,-1008,4,0,0
10,v1,25,morreu,0,-1001,1,,
10,v2,25,morreu,0,-1014,14,,
10,v3,25,morreu,0,-1019,11,0,0
10,v1,26,morreu,0,-1007,7,,
10,v2,26,morreu,0,-1005,5,,
10,v3,26,morreu,0,-1001,1,0,0
10,v1,27,morreu,0,-1002,2,,
10,v2,27,morreu,0,-1005,5,,
10,v3,27,morreu,0,-1021,5,0,0
10,v1,28,morreu,0,-1002,2,,
10,v2,28,morreu,0,-1001,1,,
10,v3,28,morreu,0,-1006,2,0,0
10,v1,29,morreu,0,-1001,1,,
10,v2,29,morreu,0,-1001,1,,
10,v3,29,morreu,0,-1001,1,0,0
10,v1,30,morreu,0,-1001,1,,
10,v2,30,morreu,0,-1014,14,,
10,v3,30,morreu,0,-1001,1,0,0
15,v1,1,morreu,0,-1004,4,,
15,v2,1,morreu,0,-1044,44,,
15,v3,1,morreu,0,-1006,6,0,0
15,v1,2,morreu,0,-1013,13,,
15,v2,2,morreu,0,-1004,4,,
15,v3,2,morreu,0,-1012,4,0,0
15,v1,3,morreu,0,-1004,4,,
15,v2,3,morreu,0,-1044,44,,
15,v3,3,morreu,0,-1002,2,0,0
15,v1,4,morreu,0,-1005,5,,
15,v2,4,morreu,0,-1004,4,,
15,v3,4,morreu,0,-1012,4,0,0
15,v1,5,morreu,0,-1012,12,,
15,v2,5,morreu,0,-1004,4,,
15,v3,5,morreu,0,-1006,6,0,0
15,v1,6,morreu,0,-1007,7,,
15,v2,6,morreu,0,-1004,4,,
15,v3,6,morreu,0,-1060,32,0,0
15,v1,7,morreu,0,-1013,13,,
15,v2,7,morreu,0,-1044,44,,
15,v3,7,morreu,0,-1018,10,0,0
15,v1,8,morreu,0,-1006,6,,
15,v2,8,morreu,0,-1004,4,,
15,v3,8,morreu,0,-1007,3,0,0
15,v1,9,morreu,0,-1033,33,,
15,v2,9,morreu,0,-1044,44,,
15,v3,9,morreu,0,-1002,2,0,0
15,v1,10,morreu,0,-1003,3,,
15,v2,10,morreu,0,-1044,44,,
15,v3,10,morreu,0,-1022,6,0,0
15,v1,11,morreu,0,-1002,2,,
15,v2,11,morreu,0,-1044,44,,
15,v3,11,morreu,0,-1024,8,0,0
15,v1,12,morreu,0,-1006,6,,
15,v2,12,morreu,0,-1044,44,,
15,v3,12,morreu,0,-1014,6,0,0
15,v1,13,morreu,0,-1002,2,,
15,v2,13,morreu,0,-1004,4,,
15,v3,13,morreu,0,-1007,3,0,0
15,v1,14,morreu,0,-1007,7,,
15,v2,14,morreu,0,-1044,44,,
15,v3,14,morreu,0,-1045,17,0,0
15,v1,15,morreu,0,-1008,8,,
15,v2,15,morreu,0,-1044,44,,
15,v3,15,morreu,0,-1007,3,0,0
15,v1,16,morreu,0,-1005,5,,
15,v2,16,morreu,0,-1004,4,,
15,v3,16,morreu,0,-1012,4,0,0
15,v1,17,morreu,0,-1004,4,,
15,v2,17,morreu,0,-1044,44,,
15,v3,17,morreu,0,-1072,36,0,0
15,v1,18,morreu,0,-1002,2,,
15,v2,18,morreu,0,-1044,44,,
15,v3,18,morreu,0,-1032,8,0,0
15,v1,19,morreu,0,-1005,5,,
15,v2,19,morreu,0,-1044,44,,
15,v3,19,morreu,0,-1011,7,0,0
15,v1,20,morreu,0,-1026,26,,
15,v2,20,morreu,0,-1044,44,,
15,v3,20,morreu,0,-1025,13,0,0
15,v1,21,morreu,0,-1002,2,,
15,v2,21,morreu,0,-1004,4,,
15,v3,21,morreu,0,-1023,11,0,0
15,v1,22,morreu,0,-1002,2,,
15,v2,22,morreu,0,-1004,4,,
15,v3,22,morreu,0,-1004,4,0,0
15,v1,23,morreu,0,-1005,5,,
15,v2,23,morreu,0,-1044,44,,
15,v3,23,morreu,0,-1044,28,0,0
15,v1,24,morreu,0,-1003,3,,
15,v2,24,morreu,0,-1044,44,,
15,v3,24,morreu,0,-1004,4,0,0
15,v1,25,morreu,0,-1013,13,,
15,v2,25,morreu,0,-1044,44,,
15,v3,25,morreu,0,-1040,16,0,0
15,v1,26,morreu,0,-1007,7,,
15,v2,26,morreu,0,-1044,44,,
15,v3,26,morreu,0,-1043,27,0,0
